epoch,loss
1,11.558
2,10.292
3,9.468
4,8.757
5,8.066
6,7.416
7,6.678
8,5.993
9,5.266
10,4.587
11,3.844
12,3.233
13,2.785
14,2.294
15,1.879
16,1.575
17,1.396
18,1.202
19,1.134
20,1.010
21,0.820
22,0.688
23,0.723
24,0.708
25,0.802
26,0.617
27,0.573
28,0.587
29,0.535
30,0.447
31,0.560
32,0.507
33,0.517
34,0.422
35,0.443
36,0.428
37,0.455
38,0.504
39,0.474
40,0.325
41,0.361
42,0.437
43,0.459
44,0.327
45,0.356
46,0.399
47,0.432
48,0.361
49,0.379
50,0.343
51,0.324
52,0.350
53,0.363
54,0.320
55,0.291
56,0.342
57,0.349
58,0.290
59,0.316
60,0.353
61,0.265
62,0.270
63,0.319
64,0.290
65,0.256
66,0.297
67,0.277
68,0.256
69,0.232
70,0.245
71,0.284
72,0.323
73,0.295
74,0.236
75,0.243
76,0.241
77,0.250
78,0.244
79,0.223
80,0.235
81,0.252
82,0.257
83,0.251
84,0.202
85,0.230
86,0.269
87,0.224
88,0.218
89,0.212
90,0.190
91,0.193
92,0.203
93,0.228
94,0.230
95,0.214
96,0.168
97,0.155
98,0.223
99,0.213
100,0.242
101,0.248
102,0.211
103,0.160
104,0.157
105,0.187
106,0.193
107,0.189
108,0.196
109,0.179
110,0.183
111,0.169
112,0.182
113,0.204
114,0.137
115,0.149
116,0.151
117,0.164
118,0.216
119,0.202
120,0.163
121,0.158
122,0.159
123,0.149
124,0.135
125,0.145
126,0.163
127,0.161
128,0.196
129,0.151
130,0.131
131,0.152
132,0.120
133,0.139
134,0.143
135,0.170
136,0.164
137,0.154
138,0.121
139,0.113
140,0.126
141,0.154
142,0.183
143,0.161
144,0.123
145,0.108
146,0.119
147,0.113
148,0.142
149,0.153
150,0.150
151,0.113
152,0.139
153,0.156
154,0.135
155,0.130
156,0.126
157,0.146
158,0.128
159,0.103
160,0.126
161,0.134
162,0.133
163,0.089
164,0.074
165,0.091
166,0.131
167,0.112
168,0.136
169,0.106
170,0.103
171,0.124
172,0.110
173,0.094
174,0.133
175,0.132
176,0.096
177,0.114
178,0.141
179,0.131
180,0.099
181,0.106
182,0.110
183,0.101
184,0.109
185,0.125
186,0.100
187,0.084
188,0.078
189,0.099
190,0.128
191,0.137
192,0.105
193,0.083
194,0.092
195,0.117
196,0.096
197,0.103
198,0.111
199,0.093
200,0.103
201,0.101
202,0.094
203,0.083
204,0.062
205,0.079
206,0.098
207,0.068
208,0.114
209,0.142
210,0.114
211,0.088
212,0.067
213,0.057
214,0.088
215,0.111
216,0.105
217,0.097
218,0.091
219,0.092
220,0.077
221,0.071
222,0.101
223,0.079
224,0.072
225,0.061
226,0.079
227,0.107
228,0.123
229,0.118
230,0.072
231,0.069
232,0.060
233,0.072
234,0.060
235,0.079
236,0.086
237,0.108
238,0.080
239,0.077
240,0.073
241,0.082
242,0.102
243,0.074
244,0.067
245,0.056
246,0.070
247,0.084
248,0.087
249,0.094
250,0.094
