epoch,loss
1,10.287
2,9.183
3,8.734
4,8.438
5,8.202
6,8.038
7,7.849
8,7.728
9,7.606
10,7.462
11,7.372
12,7.261
13,7.155
14,7.078
15,7.023
16,6.913
17,6.823
18,6.741
19,6.705
20,6.638
21,6.548
22,6.501
23,6.466
24,6.384
25,6.302
26,6.273
27,6.205
28,6.174
29,6.120
30,6.120
31,6.039
32,5.988
33,5.930
34,5.889
35,5.860
36,5.763
37,5.763
38,5.734
39,5.708
40,5.652
41,5.670
42,5.554
43,5.559
44,5.522
45,5.484
46,5.446
47,5.429
48,5.403
49,5.342
50,5.323
51,5.276
52,5.279
53,5.225
54,5.190
55,5.149
56,5.166
57,5.138
58,5.123
59,5.061
60,5.008
61,4.985
62,4.962
63,4.980
64,4.938
65,4.890
66,4.846
67,4.830
68,4.832
69,4.863
70,4.789
71,4.729
72,4.740
73,4.694
74,4.728
75,4.649
76,4.681
77,4.616
78,4.590
79,4.611
80,4.555
81,4.562
82,4.541
83,4.520
84,4.535
85,4.517
86,4.428
87,4.445
88,4.444
89,4.430
90,4.412
91,4.383
92,4.351
93,4.352
94,4.330
95,4.328
96,4.278
97,4.275
98,4.239
99,4.279
100,4.220
