epoch,loss
1,11.044
2,10.315
3,10.070
4,9.949
5,9.864
6,9.784
7,9.722
8,9.653
9,9.597
10,9.538
11,9.487
12,9.444
13,9.388
14,9.346
15,9.304
16,9.257
17,9.224
18,9.187
19,9.146
20,9.106
21,9.084
22,9.041
23,9.014
24,8.978
25,8.948
26,8.921
27,8.885
28,8.867
29,8.841
30,8.822
31,8.801
32,8.777
33,8.754
34,8.725
35,8.709
36,8.685
37,8.676
38,8.662
39,8.643
40,8.628
41,8.611
42,8.605
43,8.576
44,8.571
45,8.558
46,8.540
47,8.534
48,8.525
49,8.502
50,8.504
51,8.482
52,8.477
53,8.467
54,8.458
55,8.452
56,8.441
57,8.425
58,8.417
59,8.421
60,8.403
61,8.398
62,8.396
63,8.403
64,8.393
65,8.364
66,8.361
67,8.371
68,8.353
69,8.339
70,8.336
71,8.345
72,8.336
73,8.327
74,8.317
75,8.320
76,8.312
77,8.301
78,8.295
79,8.300
80,8.301
81,8.289
82,8.296
83,8.283
84,8.283
85,8.288
86,8.266
87,8.262
88,8.269
89,8.260
90,8.248
91,8.241
92,8.254
93,8.268
94,8.242
95,8.243
96,8.240
97,8.230
98,8.227
99,8.226
100,8.235
101,8.234
102,8.225
103,8.207
104,8.210
105,8.195
106,8.202
107,8.208
108,8.216
109,8.193
110,8.188
111,8.176
112,8.188
113,8.190
114,8.178
115,8.180
116,8.187
117,8.171
118,8.166
119,8.176
120,8.176
121,8.168
122,8.153
123,8.165
124,8.167
125,8.148
126,8.140
127,8.169
128,8.162
129,8.145
130,8.134
131,8.139
132,8.143
133,8.126
134,8.140
135,8.139
136,8.133
137,8.123
138,8.127
139,8.113
140,8.116
141,8.135
142,8.127
143,8.116
144,8.108
145,8.096
146,8.111
147,8.113
148,8.113
149,8.114
150,8.094
151,8.082
152,8.090
153,8.095
154,8.120
155,8.101
156,8.085
157,8.091
158,8.072
159,8.083
160,8.083
161,8.086
162,8.079
163,8.079
164,8.074
165,8.092
166,8.067
167,8.096
168,8.072
169,8.076
170,8.068
171,8.063
172,8.069
173,8.062
174,8.076
175,8.053
176,8.057
177,8.058
178,8.050
179,8.053
180,8.047
181,8.053
182,8.051
183,8.052
184,8.052
185,8.061
186,8.043
187,8.025
188,8.058
189,8.027
190,8.031
191,8.044
192,8.018
193,8.027
194,8.027
195,8.045
196,8.032
197,8.037
198,8.030
199,8.024
200,8.018
201,8.005
202,8.010
203,8.023
204,8.014
205,8.020
206,8.010
207,8.012
208,8.015
209,8.003
210,8.008
211,8.007
212,8.007
213,8.017
214,8.010
215,8.003
216,8.000
217,8.000
218,7.992
219,7.987
220,7.993
221,7.996
222,7.993
223,7.994
224,8.005
225,7.993
226,7.997
227,7.985
228,7.974
229,7.978
230,7.983
231,7.979
232,8.000
233,8.001
234,7.986
235,7.969
236,7.974
237,7.975
238,7.976
239,7.961
240,7.969
241,7.974
242,7.963
243,7.972
244,7.963
245,7.962
246,7.979
247,7.998
248,7.963
249,7.957
250,7.958
